ENCODED_MCT,TA_YM,IndustryRiskIndex_3m,IndustryRiskIndex_6m
000F03E44A,202301,0.9999999999999996,0.5509370703253318
000F03E44A,202302,0.9999999999999996,0.5509370703253318
000F03E44A,202303,0.9999999999999996,0.5509370703253318
000F03E44A,202304,0.9999999999999996,0.5509370703253318
000F03E44A,202305,0.9999999999999996,0.5509370703253318
000F03E44A,202306,0.9999999999999996,0.5509370703253318
000F03E44A,202307,0.9999999999999996,0.5509370703253318
000F03E44A,202308,0.9999999999999996,0.5509370703253318
000F03E44A,202309,0.9999999999999996,0.5509370703253318
000F03E44A,202310,0.9999999999999996,0.5509370703253318
000F03E44A,202311,0.9999999999999996,0.5509370703253318
000F03E44A,202312,0.9999999999999996,0.5509370703253318
000F03E44A,202401,0.9999999999999996,0.5509370703253318
000F03E44A,202402,0.9999999999999996,0.5509370703253318
000F03E44A,202403,0.9999999999999996,0.5509370703253318
000F03E44A,202404,0.08220527334635941,0.5509370703253318
000F03E44A,202405,0.08220527334635941,0.5509370703253318
000F03E44A,202406,0.08220527334635941,0.5509370703253318
000F03E44A,202407,0.08220527334635941,0.04925966657467162
000F03E44A,202408,0.08220527334635941,0.04925966657467162
000F03E44A,202409,0.08220527334635941,0.04925966657467162
000F03E44A,202410,0.0,0.0
000F03E44A,202411,0.0,0.0
000F03E44A,202412,0.0,0.0
002816BA73,202301,0.9999999999999996,0.5509370703253318
002816BA73,202302,0.9999999999999996,0.5509370703253318
002816BA73,202303,0.9999999999999996,0.5509370703253318
002816BA73,202304,0.9999999999999996,0.5509370703253318
002816BA73,202305,0.9999999999999996,0.5509370703253318
002816BA73,202306,0.9999999999999996,0.5509370703253318
002816BA73,202307,0.9999999999999996,0.5509370703253318
002816BA73,202308,0.9999999999999996,0.5509370703253318
002816BA73,202309,0.9999999999999996,0.5509370703253318
002816BA73,202310,0.9999999999999996,0.5509370703253318
002816BA73,202311,0.9999999999999996,0.5509370703253318
002816BA73,202312,0.9999999999999996,0.5509370703253318
002816BA73,202401,0.9999999999999996,0.5509370703253318
002816BA73,202402,0.9999999999999996,0.5509370703253318
002816BA73,202403,0.9999999999999996,0.5509370703253318
002816BA73,202404,0.08220527334635941,0.5509370703253318
002816BA73,202405,0.08220527334635941,0.5509370703253318
002816BA73,202406,0.08220527334635941,0.5509370703253318
002816BA73,202407,0.08220527334635941,0.04925966657467162
002816BA73,202408,0.08220527334635941,0.04925966657467162
002816BA73,202409,0.08220527334635941,0.04925966657467162
002816BA73,202410,0.0,0.0
002816BA73,202411,0.0,0.0
002816BA73,202412,0.0,0.0
003473B465,202301,0.9999999999999996,0.5509370703253318
003473B465,202302,0.9999999999999996,0.5509370703253318
003473B465,202303,0.9999999999999996,0.5509370703253318
003473B465,202304,0.9999999999999996,0.5509370703253318
003473B465,202305,0.9999999999999996,0.5509370703253318
003473B465,202306,0.9999999999999996,0.5509370703253318
003473B465,202307,0.9999999999999996,0.5509370703253318
003473B465,202308,0.9999999999999996,0.5509370703253318
003473B465,202309,0.9999999999999996,0.5509370703253318
003473B465,202310,0.9999999999999996,0.5509370703253318
003473B465,202311,0.9999999999999996,0.5509370703253318
003473B465,202312,0.9999999999999996,0.5509370703253318
003473B465,202401,0.9999999999999996,0.5509370703253318
003473B465,202402,0.9999999999999996,0.5509370703253318
003473B465,202403,0.9999999999999996,0.5509370703253318
003473B465,202404,0.08220527334635941,0.5509370703253318
003473B465,202405,0.08220527334635941,0.5509370703253318
003473B465,202406,0.08220527334635941,0.5509370703253318
003473B465,202407,0.08220527334635941,0.04925966657467162
003473B465,202408,0.08220527334635941,0.04925966657467162
003473B465,202409,0.08220527334635941,0.04925966657467162
003473B465,202410,0.0,0.0
003473B465,202411,0.0,0.0
003473B465,202412,0.0,0.0
003AC99735,202301,0.9999999999999996,0.5509370703253318
003AC99735,202302,0.9999999999999996,0.5509370703253318
003AC99735,202303,0.9999999999999996,0.5509370703253318
003AC99735,202304,0.9999999999999996,0.5509370703253318
003AC99735,202305,0.9999999999999996,0.5509370703253318
003AC99735,202306,0.9999999999999996,0.5509370703253318
003AC99735,202307,0.9999999999999996,0.5509370703253318
003AC99735,202308,0.9999999999999996,0.5509370703253318
003AC99735,202309,0.9999999999999996,0.5509370703253318
003AC99735,202310,0.9999999999999996,0.5509370703253318
003AC99735,202311,0.9999999999999996,0.5509370703253318
003AC99735,202312,0.9999999999999996,0.5509370703253318
003AC99735,202401,0.9999999999999996,0.5509370703253318
003AC99735,202402,0.9999999999999996,0.5509370703253318
003AC99735,202403,0.9999999999999996,0.5509370703253318
003AC99735,202404,0.08220527334635941,0.5509370703253318
003AC99735,202405,0.08220527334635941,0.5509370703253318
003AC99735,202406,0.08220527334635941,0.5509370703253318
003AC99735,202407,0.08220527334635941,0.04925966657467162
003AC99735,202408,0.08220527334635941,0.04925966657467162
003AC99735,202409,0.08220527334635941,0.04925966657467162
003AC99735,202410,0.0,0.0
003AC99735,202411,0.0,0.0
003AC99735,202412,0.0,0.0
0041E4E5AE,202301,0.0,0.0
0041E4E5AE,202302,0.0,0.0
0041E4E5AE,202303,0.0,0.0
0041E4E5AE,202304,0.0,0.0
0041E4E5AE,202305,0.0,0.0
0041E4E5AE,202306,0.0,0.0
0041E4E5AE,202307,0.0,0.0
0041E4E5AE,202308,0.0,0.0
0041E4E5AE,202309,0.0,0.0
0041E4E5AE,202310,0.0,0.0
0041E4E5AE,202311,0.0,0.0
0041E4E5AE,202312,0.0,0.0
0041E4E5AE,202401,0.0,0.0
0041E4E5AE,202402,0.0,0.0
0041E4E5AE,202403,0.0,0.0
0041E4E5AE,202404,0.08220527334635941,0.5509370703253318
0041E4E5AE,202405,0.08220527334635941,0.5509370703253318
0041E4E5AE,202406,0.08220527334635941,0.5509370703253318
0041E4E5AE,202407,0.08220527334635941,0.04925966657467162
0041E4E5AE,202408,0.08220527334635941,0.04925966657467162
0041E4E5AE,202409,0.08220527334635941,0.04925966657467162
0041E4E5AE,202410,0.0,0.0
0041E4E5AE,202411,0.0,0.0
0041E4E5AE,202412,0.0,0.0
0050D68B18,202305,0.0,0.0
0050D68B18,202306,0.0,0.0
0050D68B18,202307,0.0,0.0
0050D68B18,202308,0.0,0.0
0050D68B18,202309,0.0,0.0
0050D68B18,202310,0.0,0.0
0050D68B18,202311,0.0,0.0
0050D68B18,202312,0.0,0.0
0050D68B18,202401,0.0,0.0
0050D68B18,202402,0.0,0.0
0050D68B18,202403,0.0,0.0
0050D68B18,202404,0.08220527334635941,0.5509370703253318
0050D68B18,202405,0.08220527334635941,0.5509370703253318
0050D68B18,202406,0.08220527334635941,0.5509370703253318
0050D68B18,202407,0.08220527334635941,0.04925966657467162
0050D68B18,202408,0.08220527334635941,0.04925966657467162
0050D68B18,202409,0.08220527334635941,0.04925966657467162
0050D68B18,202410,0.0,0.0
0050D68B18,202411,0.0,0.0
0050D68B18,202412,0.0,0.0
00646B6673,202301,0.0,0.0
00646B6673,202302,0.0,0.0
00646B6673,202303,0.0,0.0
00646B6673,202304,0.0,0.0
